Iteration,Result,Num Turns
0,lose,16
1,lose,4
2,lose,6
3,lose,13
4,lose,8
5,lose,19
6,lose,3
7,lose,13
8,lose,14
9,lose,15
10,lose,13
11,lose,19
12,lose,16
13,lose,17
14,lose,7
