Iteration,Result,Num Turns
0,win,20
1,lose,9
2,lose,6
3,lose,17
4,lose,11
5,win,23
6,win,18
7,lose,1
8,lose,16
9,lose,3
10,win,21
11,lose,7
12,lose,8
13,win,20
14,win,15
