Iteration,Result,Num Turns
0,lose,1
1,lose,18
2,win,16
3,lose,23
4,win,17
5,lose,13
6,win,21
7,lose,9
8,lose,21
9,lose,2
10,lose,20
11,win,14
12,lose,6
13,lose,18
14,lose,19
