Iteration,Result,Num Turns
0,lose,12
1,lose,2
2,lose,13
3,lose,4
4,lose,12
5,lose,3
6,lose,9
7,lose,15
8,lose,9
9,lose,9
10,lose,2
11,lose,11
12,lose,7
13,lose,12
14,lose,9
