Iteration,Result,Num Turns
0,lose,13
1,win,15
2,lose,9
3,lose,5
4,lose,7
5,lose,14
6,lose,6
7,win,14
8,lose,14
9,lose,2
10,lose,10
11,lose,13
12,lose,10
13,lose,10
14,win,10
