Iteration,Result,Num Turns
0,lose,14
1,lose,8
2,lose,10
3,lose,9
4,lose,15
5,lose,10
6,lose,13
7,lose,8
8,win,13
9,lose,8
10,lose,1
11,win,12
12,lose,10
13,win,12
14,win,13
