Iteration,Result,Num Turns
0,lose,9
1,lose,4
2,lose,9
3,lose,14
4,lose,5
5,lose,6
6,lose,9
7,lose,4
8,lose,13
9,win,14
10,win,9
11,lose,4
12,lose,8
13,lose,11
14,lose,9
