Iteration,Result,Num Turns
0,win,16
1,lose,18
2,lose,20
3,win,19
4,lose,18
5,win,21
6,lose,13
7,win,12
8,lose,20
9,win,15
10,lose,15
11,lose,15
12,win,18
13,lose,14
14,lose,20
