Iteration,Result,Num Turns
0,lose,3
1,lose,10
2,lose,7
3,lose,12
4,win,19
5,win,15
6,lose,22
7,lose,6
8,win,17
9,lose,17
10,lose,3
11,lose,20
12,lose,14
13,lose,4
14,lose,14
