Iteration,Result,Num Turns
0,lose,10
1,lose,8
2,lose,9
3,lose,5
4,win,14
5,lose,8
6,lose,14
7,lose,10
8,lose,5
9,lose,4
10,lose,1
11,lose,1
12,lose,15
13,lose,11
14,lose,4
