Iteration,Result,Num Turns
0,lose,22
1,win,23
2,lose,14
3,lose,20
4,win,22
5,lose,22
6,win,16
7,win,20
8,lose,7
9,win,18
10,lose,21
11,lose,18
12,win,14
13,win,21
14,win,16
