Iteration,Result,Num Turns
0,lose,2
1,lose,10
2,lose,6
3,lose,6
4,lose,16
5,win,15
6,lose,9
7,lose,9
8,lose,12
9,lose,11
10,lose,16
11,win,14
12,lose,13
13,lose,2
14,lose,7
