Iteration,Result,Num Turns
0,lose,11
1,lose,6
2,lose,15
3,lose,10
4,lose,15
5,lose,16
6,lose,8
7,lose,11
8,lose,6
9,lose,14
10,lose,9
11,lose,16
12,lose,13
13,lose,9
14,lose,12
