Iteration,Result,Num Turns
0,lose,9
1,lose,8
2,lose,9
3,lose,4
4,lose,4
5,lose,8
6,lose,4
7,lose,10
8,lose,5
9,lose,8
10,lose,15
11,lose,11
12,lose,13
13,win,13
14,lose,4
