Iteration,Result,Num Turns
0,lose,8
1,lose,12
2,lose,14
3,lose,19
4,lose,16
5,win,21
6,win,20
7,win,19
8,lose,23
9,lose,7
10,lose,12
11,win,18
12,win,17
13,win,19
14,lose,17
