Iteration,Result,Num Turns
0,lose,11
1,lose,10
2,lose,9
3,lose,3
4,lose,15
5,lose,15
6,lose,5
7,lose,2
8,win,8
9,lose,8
10,lose,6
11,lose,13
12,lose,7
13,lose,12
14,lose,3
