Iteration,Result,Num Turns
0,lose,21
1,win,16
2,lose,9
3,lose,5
4,lose,23
5,lose,1
6,lose,15
7,lose,6
8,lose,11
9,win,23
10,lose,14
11,win,21
12,win,22
13,win,14
14,win,17
