Iteration,Result,Num Turns
0,lose,4
1,lose,3
2,lose,5
3,lose,14
4,lose,15
5,lose,18
6,lose,15
7,lose,2
8,lose,14
9,lose,6
10,win,20
11,win,15
12,lose,15
13,lose,4
14,lose,14
