Iteration,Result,Num Turns
0,win,15
1,lose,11
2,lose,6
3,win,20
4,win,17
5,lose,7
6,win,19
7,lose,19
8,lose,7
9,lose,21
10,lose,5
11,lose,21
12,lose,5
13,lose,6
14,lose,3
