Iteration,Result,Num Turns
0,win,8
1,win,15
2,lose,8
3,lose,12
4,lose,2
5,lose,13
6,lose,1
7,lose,9
8,lose,12
9,lose,9
10,lose,10
11,lose,9
12,lose,11
13,lose,1
14,win,10
