Iteration,Result,Num Turns
0,win,19
1,lose,15
2,lose,2
3,win,18
4,lose,22
5,win,18
6,win,16
7,win,14
8,lose,8
9,lose,6
10,win,17
11,win,19
12,win,19
13,win,18
14,lose,6
