Iteration,Result,Num Turns
0,win,16
1,lose,19
2,win,21
3,win,16
4,win,19
5,lose,21
6,lose,21
7,lose,2
8,lose,21
9,lose,8
10,win,16
11,lose,18
12,win,19
13,lose,16
14,lose,18
