Iteration,Result,Num Turns
0,win,17
1,lose,20
2,win,18
3,win,21
4,lose,7
5,lose,18
6,lose,19
7,lose,2
8,lose,9
9,win,18
10,lose,17
11,win,19
12,lose,23
13,lose,23
14,lose,22
