Iteration,Result,Num Turns
0,lose,16
1,lose,3
2,lose,19
3,lose,22
4,lose,11
5,lose,2
6,lose,15
7,lose,20
8,win,16
9,win,18
10,lose,10
11,win,19
12,win,22
13,lose,16
14,win,15
