Iteration,Result,Num Turns
0,lose,21
1,win,21
2,win,15
3,win,20
4,win,22
5,lose,7
6,win,16
7,lose,11
8,win,19
9,lose,13
10,win,21
11,win,15
12,lose,16
13,lose,22
14,lose,15
