Iteration,Result,Num Turns
0,lose,13
1,win,14
2,lose,3
3,win,16
4,win,14
5,lose,20
6,lose,1
7,lose,7
8,lose,4
9,win,16
10,lose,17
11,lose,8
12,win,22
13,lose,15
14,win,19
