Iteration,Result,Num Turns
0,win,18
1,lose,12
2,lose,20
3,lose,13
4,win,20
5,win,15
6,lose,22
7,lose,14
8,lose,9
9,win,18
10,win,17
11,win,15
12,win,15
13,win,21
14,win,13
