Iteration,Result,Num Turns
0,lose,15
1,lose,8
2,lose,9
3,lose,5
4,lose,7
5,lose,9
6,lose,15
7,lose,13
8,win,16
9,lose,15
10,lose,15
11,lose,12
12,lose,9
13,lose,12
14,lose,9
