Iteration,Result,Num Turns
0,lose,17
1,lose,9
2,lose,11
3,lose,11
4,win,19
5,win,19
6,lose,21
7,lose,1
8,win,19
9,win,21
10,lose,18
11,lose,12
12,win,22
13,lose,13
14,lose,14
